Monnaie,Cours,1h,24h,7j,Volume sur 24h,Capitalisation du marché
Ark ARK ARK,"$1,48",1.2%,-9.8%,-12.2%,$5 484 585,$236 551 171
PEAKDEFI PEAK PEAK,"$0,231864",1.3%,-4.9%,-31.3%,$64 020,$236 242 513
Dvision Network DVI DVI,"$0,953740",1.4%,19.9%,88.8%,$7 027 651,$233 748 946
Polkaswap PSWAP PSWAP,"$0,062545819730",0.8%,-4.3%,1.4%,$199 960,$227 991 763
Alien Worlds TLM TLM,"$0,181324",2.0%,-14.5%,-3.4%,$115 574 067,$225 708 752
GMX GMX GMX,"$33,72",0.9%,-2.1%,45.9%,$3 379 426,$225 620 795
Dawn Protocol DAWN DAWN,"$3,13",0.6%,-9.2%,-11.8%,$33 134 868,$224 168 417
Radicle RAD RAD,"$10,49",0.5%,-8.6%,-19.6%,$11 031 732,$222 620 476
SuperFarm SUPER SUPER,"$0,774890",0.7%,-6.4%,6.2%,$32 067 097,$222 363 744
Ampleforth AMPL AMPL,"$1,36",3.0%,-19.4%,11.9%,$10 408 641,$220 184 276
Ellipsis EPS EPS,"$0,495523",1.4%,-10.4%,-12.8%,$28 000 308,$219 899 155
Dopex DPX DPX,"$1 482,31",0.4%,-6.4%,-2.2%,$2 137 476,$217 446 505
PlayDapp PLA PLA,"$0,896665",3.1%,3.0%,14.5%,$12 405 946,$216 635 716
Dero DERO DERO,"$19,75",0.1%,-6.0%,-3.7%,$1 401 895,$216 206 936
Unizen ZCX ZCX,"$4,90",0.2%,-4.1%,-21.1%,$3 517 508,$214 460 747
FLEX Coin FLEX FLEX,"$2,68",-3.3%,-0.8%,-2.5%,$173 277 547,$210 902 423
Adventure Gold AGLD AGLD,"$2,74",0.8%,-12.5%,-24.6%,$57 614 217,$210 591 951
Stratis STRAX STRAX,"$1,90",0.2%,-10.2%,-10.5%,$7 245 462,$210 591 534
Polkastarter POLS POLS,"$2,59",1.2%,-4.9%,-7.6%,$38 828 536,$210 060 666
Steem STEEM STEEM,"$0,534730",0.7%,-8.7%,-6.3%,$9 510 364,$208 954 827
THORChain (ERC20) RUNE RUNE,"$12,90",-3.1%,-6.5%,71.5%,$5 716 947,$208 895 762
FUNToken FUN FUN,"$0,019356072884",0.2%,-6.6%,-3.5%,$19 908 615,$204 920 683
RSK Infrastructure Framework RIF RIF,"$0,259553",1.2%,-3.8%,-7.0%,$1 283 492,$203 772 486
Syscoin SYS SYS,"$0,328389",0.9%,-15.2%,-11.7%,$6 472 163,$203 683 704
Lido Staked SOL STSOL STSOL,"$192,02",0.9%,-7.2%,23.0%,$6 438 353,$200 323 406
cUNI CUNI CUNI,"$0,503935",0.9%,-10.0%,-4.2%,$279 312,$199 988 484
sUSD SUSD SUSD,"$0,999543",0.9%,-0.6%,-0.6%,$31 777 172,$199 074 659
TomoChain TOMO TOMO,"$2,34",1.6%,-11.4%,-2.6%,$14 054 830,$198 918 729
Beldex BDX BDX,"$0,131791",0.6%,-5.8%,-4.7%,$413 425,$197 687 031
Escoin Token ELG ELG,"$2,90",0.9%,-0.0%,2.1%,$462 522,$197 677 739
Hathor HTR HTR,"$0,971392",1.0%,-4.1%,40.4%,$9 953 771,$197 411 640
Klever KLV KLV,"$0,035702204642",2.2%,-6.1%,-8.4%,$2 319 020,$195 026 342
Uquid Coin UQC UQC,"$19,46",0.8%,-3.9%,5.1%,$3 015 847,$193 918 685
DeFiPulse Index DPI DPI,"$340,21",0.5%,-5.5%,1.1%,$6 129 415,$193 457 163
Vulcan Forged PYR PYR,"$10,18",2.8%,0.4%,14.3%,$4 946 054,$193 230 603
Metal MTL MTL,"$3,05",4.1%,-8.9%,-3.8%,$34 749 112,$191 986 525
API3 API3 API3,"$4,98",0.9%,-12.7%,-4.1%,$11 227 093,$191 682 098
My Neighbor Alice ALICE ALICE,"$10,97",2.9%,-13.9%,-5.5%,$141 468 851,$191 397 989
Enzyme MLN MLN,"$131,35",0.7%,-5.8%,-5.4%,$18 119 953,$191 078 855
Ankr Reward-Bearing Staked ETH AETHC AETHC,"$3 641,20",-0.1%,-10.8%,2.0%,$127 670,$190 398 175
Sentinel DVPN DVPN,"$0,035664994774",2.3%,-8.2%,15.5%,$4 583 599,$189 729 350
Wrapped Centrifuge WCFG WCFG,"$1,74",3.2%,-6.6%,-11.5%,$3 435 524,$189 537 185
Chromia CHR CHR,"$0,329495",1.1%,-10.2%,-5.4%,$41 021 913,$187 858 623
Shiden Network SDN SDN,"$3,33",-2.1%,-10.3%,-8.5%,$4 119 210,$186 819 776
Star Atlas ATLAS ATLAS,"$0,086476436107",0.6%,-4.7%,-4.1%,$21 493 291,$186 789 102
Strong STRONG STRONG,"$1 105,14",1.4%,2.9%,49.7%,$19 106 217,$184 139 994
Aave [OLD] LEND LEND,"$3,51",-4.0%,2.9%,16.7%,$246 562,$183 394 681
QuarkChain QKC QKC,"$0,027544140650",0.4%,-11.2%,-9.0%,$23 516 047,$181 009 521
ETH 2x Flexible Leverage Index ETH2X-FLI ETH2X-FLI,"$191,93",0.1%,-8.4%,4.4%,$18 363 087,$180 044 201
Lido DAO LDO LDO,"$3,18",-0.5%,-6.7%,-6.8%,$2 909 846,$178 356 095
Syntropy NOIA NOIA,"$0,371574",0.9%,-5.7%,7.6%,$2 297 191,$177 831 480
STP Network STPT STPT,"$0,134481",0.2%,-11.6%,-13.1%,$71 021 467,$177 604 809
Alchemy Pay ACH ACH,"$0,052604582368",5.1%,-10.1%,-15.2%,$39 635 015,$177 566 740
KardiaChain KAI KAI,"$0,059880604626",2.1%,-3.2%,29.2%,$5 137 265,$174 864 088
Automata ATA ATA,"$1,00",2.8%,-7.0%,-6.8%,$64 398 372,$173 066 109
Aragon ANT ANT,"$4,53",0.7%,-6.5%,-2.2%,$25 866 530,$172 227 266
KeeperDAO ROOK ROOK,"$252,18",0.3%,-8.0%,-5.9%,$3 164 555,$172 065 372
StarLink STARL STARL,"$0,000017107812",-2.2%,7.4%,44.0%,$12 032 495,$170 721 797
Metadium META META,"$0,104485",0.3%,-6.9%,-4.7%,$11 073 882,$170 535 761
Wanchain WAN WAN,"$0,882365",0.6%,-5.6%,-1.5%,$3 959 263,$170 316 366
Everipedia IQ IQ,"$0,016993029906",0.1%,-10.6%,-12.6%,$13 414 036,$169 902 917
Zenon ZNN ZNN ,"$24,10",1.3%,0.0%,46.0%,$835 699,$168 537 739
Storj STORJ STORJ,"$1,17",1.4%,-12.2%,-7.9%,$56 899 222,$167 817 181
Ultra UOS UOS,"$0,631465",1.3%,-5.3%,-9.0%,$2 560 963,$167 481 550
SafePal SFP SFP,"$1,54",1.3%,-13.0%,-15.9%,$47 631 785,$166 958 379
Utrust UTK UTK,"$0,370633",1.2%,-7.8%,-14.3%,$9 242 720,$166 785 587
AXIA Coin AXC AXC,"$1,55",0.6%,-0.5%,22.9%,$805 695,$164 595 342
MATH MATH MATH,"$1,14",0.4%,-3.7%,-11.2%,$941 653,$162 541 937
CRYPTO20 C20 C20,"$4,87",-0.4%,-5.8%,4.1%,$41 075,$162 266 876
Fodl Finance FODL FODL,"$0,638259",0.0%,1.8%,-38.4%,$21 606 294,$160 771 316
Wilder World WILD WILD,"$2,16",-1.5%,-16.0%,14.7%,$8 712 145,$159 133 147
MX Token MX MX,"$1,58",0.8%,-7.0%,11.1%,$3 228 720,$158 366 135
Sun Token SUN SUN,"$0,031695303439",2.4%,-9.1%,8.4%,$363 947 585,$157 601 256
Kyber Network Crystal KNC KNC,"$1,53",1.7%,-10.6%,-5.4%,$15 386 641,$156 389 832
Quickswap QUICK QUICK,"$430,95",-0.0%,-4.7%,4.6%,$24 523 662,$156 051 675
Tether Gold XAUT XAUT,"$1 806,10",0.1%,-0.1%,2.0%,$1 442 694,$154 272 657
LGCY Network LGCY LGCY,"$0,012434528931",3.7%,7.8%,36.5%,$758 861,$153 014 246
Spookyswap BOO BOO,"$27,11",1.0%,-0.8%,11.6%,$9 203 996,$153 014 162
Covalent CQT CQT,"$1,22",0.4%,-10.3%,-0.5%,$18 055 096,$152 494 350
Augur REP REP,"$22,11",1.7%,-9.0%,-5.3%,$17 309 474,$151 914 048
DFI.money YFII YFII,"$3 821,55",1.9%,-11.3%,-3.1%,$59 304 044,$151 823 211
Strike STRK STRK,"$50,30",1.2%,-6.7%,-8.1%,$939 839,$151 319 951
IDEX IDEX IDEX,"$0,256133",2.2%,-11.9%,-15.6%,$22 561 537,$151 259 552
Render Token RNDR RNDR,"$0,975067",5.1%,4.7%,-12.9%,$6 229 889,$150 539 994
Request REQ REQ,"$0,195309",0.7%,-10.5%,-13.0%,$17 053 772,$150 310 116
LCX LCX LCX,"$0,266758",-0.4%,-4.7%,48.2%,$4 502 819,$149 353 757
Privateum PVM PVM,"$1,85",0.7%,-2.1%,-17.6%,$421 356,$148 139 812
Cratos CRTS CRTS,"$0,002138651917",0.4%,0.7%,4.5%,$4 383 740,$147 566 982
pTokens BTC PBTC PBTC,$58 504,0.1%,-6.2%,-8.7%,$28 314,$147 335 487
Travala.com AVA AVA,"$2,77",0.4%,-7.7%,-11.3%,$12 287 073,$147 142 348
Clover Finance CLV CLV,"$1,13",1.5%,-8.9%,-9.0%,$18 311 021,$145 541 596
Power Ledger POWR POWR,"$0,337388",1.3%,-8.2%,-2.7%,$6 890 356,$144 481 854
Star Atlas DAO POLIS POLIS,"$6,66",0.8%,-7.6%,-8.3%,$11 952 361,$143 787 362
Hxro HXRO HXRO,"$0,445418",0.6%,-3.5%,-1.8%,$402 719,$143 538 729
Karura KAR KAR,"$7,76",1.6%,-5.6%,-8.9%,$5 245 004,$142 140 663
USDX USDX USDX,"$0,983180",0.4%,-0.7%,-0.8%,$2 112 839,$141 910 384
Newscrypto Coin NWC NWC,"$0,917946",3.3%,-6.4%,12.0%,$12 700 182,$141 561 028
Kyber Network Crystal Legacy KNCL KNCL,"$1,53",2.1%,-11.0%,-4.9%,$49 038 120,$141 216 601
Tokocrypto TKO TKO,"$1,88",1.1%,-7.3%,-7.1%,$37 771 087,$141 123 477
Tenset 10SET 10SET,"$1,58",1.5%,-5.2%,-15.9%,$1 458 249,$140 323 871
Linear LINA LINA,"$0,046447552798",2.2%,-14.6%,-16.1%,$33 328 708,$140 084 824
Smooth Love Potion SLP SLP,"$0,063958031204",1.8%,-5.5%,-6.0%,$222 107 775,$137 253 343
Aavegotchi GHST GHST,"$2,14",0.4%,8.8%,21.0%,$128 196 154,$137 206 277
Hoge Finance HOGE HOGE,"$0,000330435239",2.7%,-10.9%,62.3%,$2 512 327,$137 049 438
Gemini Dollar GUSD GUSD,"$0,998431",0.5%,-0.3%,0.2%,$6 666 319,$136 486 869
DAO Maker DAO DAO,"$2,64",0.5%,-3.7%,-6.6%,$9 494 369,$136 163 282
Kin KIN KIN,"$0,000082726052",1.1%,-13.6%,-3.0%,$5 000 825,$136 106 662
Hydra HYDRA HYDRA,"$16,96",0.7%,-2.2%,-13.0%,$1 792 573,$133 647 668
Mobox MBOX MBOX,"$3,75",1.6%,-9.1%,-12.2%,$40 630 210,$132 935 237
Alpaca Finance ALPACA ALPACA,"$0,849961",0.5%,-4.9%,-10.7%,$9 737 784,$131 925 359
Orca ORCA ORCA,"$12,62",-0.2%,-6.0%,17.7%,$15 263 177,$131 756 599
c0x CZRX CZRX,"$0,019974190871",-0.0%,-10.6%,0.6%,$76 254,$131 569 457
Haven XHV XHV,"$8,50",-0.1%,2.0%,7.8%,$1 273 221,$131 222 069
MCDEX MCB MCB,"$51,65",1.3%,-5.5%,-15.3%,$4 661 772,$130 012 862
Decentral Games DG DG,"$367,99",2.9%,-2.7%,58.0%,$1 642 589,$129 757 667
BarnBridge BOND BOND,"$27,08",1.0%,-6.6%,-10.3%,$11 723 269,$128 621 286
Aurory AURY AURY,"$13,59",0.4%,-4.2%,,$8 001 640,$128 465 314
SUKU SUKU SUKU,"$1,08",-6.1%,29.1%,104.4%,$7 565 885,$128 380 741
Ampleforth Governance Token FORTH FORTH ,"$14,73",1.6%,-7.1%,-8.9%,$22 414 271,$127 980 208
Phala Network PHA PHA,"$0,703355",0.3%,-6.8%,-10.6%,$23 201 420,$127 903 544
IRISnet IRIS IRIS,"$0,111554",1.6%,-9.5%,-2.1%,$12 829 275,$127 418 704
Litentry LIT LIT,"$4,63",2.1%,-11.2%,7.2%,$20 744 233,$127 409 355
Alchemist MIST MIST,"$107,24",0.1%,-7.4%,-10.8%,$1 399 360,$127 005 824
Morpheus Network MRPH MRPH,"$3,36",3.9%,-12.1%,-2.2%,$691 474,$126 094 712
Komodo KMD KMD,"$0,977936",0.7%,-7.2%,-6.2%,$3 998 365,$125 750 898
Cake Monster MONSTA MONSTA,"$0,021660318715",4.5%,9.7%,-13.8%,$800 830,$125 163 270
DerivaDAO DDX DDX,"$4,77",0.2%,-19.2%,-23.0%,$2 259 555,$124 435 231
Handshake HNS HNS,"$0,288182",1.2%,-9.8%,26.6%,$264 095,$124 392 036
ARPA Chain ARPA ARPA,"$0,126633",1.9%,-13.4%,-26.6%,$91 873 664,$124 355 311
Wrapped NXM WNXM WNXM,"$55,28",0.8%,-7.0%,0.4%,$3 231 411,$123 440 183
Artery ARTR ARTR,"$1,00",0.0%,-1.6%,-24.6%,$107 549,$123 071 486
BitShares BTS BTS,"$0,045400515372",1.4%,-11.5%,-9.0%,$16 952 488,$122 804 215
Zipmex Token ZMT ZMT,"$1,87",0.8%,1.1%,1.6%,$9 962 932,$122 274 179
SpiritSwap SPIRIT SPIRIT,"$0,510399",-0.1%,-5.3%,22.3%,$11 710 095,$122 265 591
CoinMetro XCM XCM,"$0,402109",-0.6%,0.3%,40.0%,$320 224,$121 787 965
e-Radix EXRD EXRD,"$0,108913",0.5%,-2.7%,3.7%,$1 295 875,$121 271 448
XSGD XSGD XSGD,"$0,745750",0.9%,0.3%,0.5%,$1 929 612,$120 565 009
Kirobo KIRO KIRO,"$0,367935",-0.6%,-5.2%,-14.0%,$326 448,$119 964 465
PlatON Network LAT LAT,"$0,147102",0.3%,-10.5%,17.0%,$6 739 184,$119 885 886
Tranchess CHESS CHESS,"$3,15",1.7%,-13.4%,10.7%,$35 009 801,$119 459 843
Gitcoin GTC GTC,"$8,41",1.5%,-12.3%,-25.6%,$24 284 144,$119 434 498
district0x DNT DNT,"$0,158988",1.1%,-9.2%,-0.6%,$10 116 262,$119 433 816
MXC MXC MXC,"$0,048958906624",-3.3%,1.4%,16.2%,$20 344 301,$119 078 511
Propy PRO PRO,"$2,06",-1.7%,-6.2%,51.4%,$3 311 244,$119 028 630
Marinade staked SOL MSOL MSOL,"$192,72",1.2%,-7.5%,21.8%,$103 843 360,$118 863 442
Flux FLUX FLUX,"$0,545170",-0.2%,-5.3%,45.0%,$5 228 665,$118 210 189
BSCPAD BSCPAD BSCPAD,"$1,49",-0.6%,0.0%,-14.2%,$3 715 966,$118 077 245
Ethernity Chain ERN ERN,"$10,33",1.6%,-10.9%,-13.7%,$12 582 994,$117 271 616
Vai VAI VAI,"$0,881260",1.2%,-1.1%,-3.4%,$1 917 102,$116 331 636
mStable USD MUSD MUSD,"$1,00",,0.3%,-2.6%,$9 532 068,$115 945 077
MIMO Parallel Governance Token MIMO MIMO,"$0,262839",-2.4%,-1.8%,-33.3%,$95 860,$115 600 690
Step Finance STEP STEP,"$0,786313",2.2%,-13.2%,-8.7%,$12 576 465,$115 593 939
Gas GAS GAS,"$8,29",0.9%,-8.9%,-2.8%,$21 929 219,$115 381 728
Qredo QRDO QRDO,"$3,47",2.2%,-13.9%,38.7%,$19 446 794,$115 182 359
OccamFi OCC OCC,"$7,70",1.2%,3.3%,29.4%,$1 469 151,$114 591 861
ApeSwap Finance BANANA BANANA,"$1,63",1.1%,-6.9%,-25.5%,$7 614 963,$114 511 308
Etherrock #72 PEBBLE PEBBLE,"$0,001582375896",0.0%,-16.2%,23.7%,$1 019 312,$113 931 138
Hifi Finance MFT MFT,"$0,012122499089",0.8%,-9.2%,-16.3%,$11 892 479,$113 768 785
Planet Finance AQUA AQUA,"$1 288,99",0.6%,-10.1%,-33.9%,$204 572,$113 069 308
Sora XOR XOR,"$279,05",0.6%,-3.2%,3.7%,$1 718 194,$112 511 890
LockTrip LOC LOC,"$6,86",1.3%,-6.9%,-5.7%,$282 181,$112 402 920
Shyft Network SHFT SHFT,"$0,787674",0.3%,-1.3%,-3.7%,$287 778,$112 293 004
bZx Protocol BZRX BZRX,"$0,344858",2.6%,-7.8%,9.3%,$15 210 792,$112 193 812
Celo Dollar CUSD CUSD,"$1,01",0.9%,0.5%,-0.2%,$1 518 103,$111 555 841
CertiK CTK CTK,"$1,92",1.8%,-14.3%,-5.1%,$14 508 045,$110 960 722
Solanium SLIM SLIM,"$2,18",-0.2%,-7.7%,-6.7%,$4 092 992,$108 999 067
MobieCoin MBX MBX,"$0,027414097800",1.8%,-15.2%,136.4%,$3 136 150,$107 309 677
JUST JST JST,"$0,074494303070",1.9%,-10.7%,-3.6%,$509 463 458,$106 812 136
Firo FIRO FIRO,"$8,47",1.1%,-8.8%,19.9%,$6 521 427,$105 306 072
AstroSwap ASTRO ASTRO,"$0,435487",-0.2%,7.5%,10.0%,$1 718 287,$104 968 830
sETH2 SETH2 SETH2,"$3 958,60",0.1%,-4.7%,3.3%,"$17 720,88",$104 628 460
Bitkub Coin KUB KUB,"$0,949661",0.9%,-2.1%,-8.3%,$1 299 139,$104 462 759
Token Pocket TPT TPT,"$0,030145400001",0.2%,-9.4%,1.6%,$1 068 941,$104 415 746
Pylon Protocol MINE MINE,"$0,133540",0.3%,-6.0%,-16.7%,$4 312 773,$104 196 108
STASIS EURO EURS EURS,"$1,16",0.9%,0.3%,0.2%,$596 746,$103 541 075
Bella Protocol BEL BEL,"$2,15",1.8%,-11.5%,-8.5%,$22 408 457,$103 507 651
CVCoin CVN CVN,"$8,42",1.7%,-4.7%,57.8%,$1 039 992,$103 267 357
Boson Protocol BOSON BOSON,"$1,84",-0.8%,-7.1%,44.7%,$7 766 376,$102 652 457
Tellor TRB TRB,"$50,34",1.5%,-10.6%,-9.5%,$55 541 110,$102 456 780
Beefy.Finance BIFI BIFI,"$1 302,96",0.5%,-6.9%,6.8%,$2 680 876,$101 627 063
Biconomy Exchange Token BIT BIT,"$0,000198518434",0.9%,-4.7%,257.4%,$2 042 032,$101 625 465
Aurox Token URUS URUS,"$184,31",0.8%,6.8%,85.5%,$2 445 755,$101 582 927
WHALE WHALE WHALE,"$15,04",0.4%,-6.4%,-13.4%,$771 090,$101 295 025
RAMP RAMP RAMP,"$0,270980",1.3%,-7.8%,-12.4%,$8 321 674,$100 879 128
ZKSwap ZKS ZKS,"$0,450623",1.4%,-5.8%,-10.3%,$6 594 144,$100 693 763
Shabu Shabu KOBE KOBE,"$2,49",0.0%,-0.9%,46.5%,"$0,000000000000",$100 679 761
VelasPad VLXPAD VLXPAD,"$0,959944",2.5%,4.3%,15.0%,$4 449 418,$100 048 870
Coin of the champions COC COC,"$0,000001005728",-0.9%,-4.4%,-1.2%,$60 553,$97 926 405
Harvest Finance FARM FARM,"$157,85",2.0%,-8.1%,-11.4%,$7 791 316,$97 741 615
OpenOcean OOE OOE,"$0,651191",0.7%,-7.7%,-2.7%,$3 301 054,$97 622 408
Presearch PRE PRE,"$0,247117",1.3%,-11.5%,-20.4%,$2 631 403,$97 614 599
sEUR SEUR SEUR,"$1,19",0.0%,0.0%,-0.2%,"$0,000000000000",$97 564 858
Seedify.fund SFUND SFUND,"$5,11",1.6%,2.0%,-2.0%,$8 367 111,$97 462 271
ADAPad ADAPAD ADAPAD,"$0,831821",1.4%,0.9%,-2.4%,$1 421 492,$96 935 151
PARSIQ PRQ PRQ,"$0,745491",-0.8%,-14.0%,6.7%,$2 614 428,$96 377 597
BENQI QI QI,"$0,123279",1.4%,-9.1%,11.1%,$3 344 570,$96 316 549
Edgeware EDG EDG,"$0,014957523765",0.8%,-9.4%,-12.0%,$324 531,$96 278 673
BoringDAO BTC OBTC OBTC,$61 200,?,?,?,?,$96 183 472
Luffy LUFFY LUFFY,"$0,000000002077",-2.4%,-19.7%,245.8%,$1 357 083,$96 100 014
ThunderCore TT TT,"$0,012507882961",1.0%,-8.2%,-12.5%,$22 223 524,$95 624 009
Carry CRE CRE,"$0,010890804283",0.8%,-8.4%,-9.7%,$12 564 243,$94 924 941
Rarible RARI RARI,"$18,17",1.7%,-10.8%,-11.9%,$3 223 496,$94 871 926
BYTZ BYTZ BYTZ,"$0,004891437184",15.7%,-7.1%,-60.1%,$51 593,$94 582 548
Velo VELO VELO,"$0,276845",6.6%,0.4%,16.8%,$5 858 800,$94 519 621
cVault.finance CORE CORE,"$9 457,07",0.8%,-0.2%,-3.1%,$94 405,$94 143 022
Revolution Populi RVP RVP,"$0,077560906712",-1.6%,-12.3%,-19.8%,$670 136,$93 073 088
Keep3rV1 KP3R KP3R,"$351,66",-0.3%,-11.4%,12.6%,$9 651 244,$92 990 300
Taboo Token TABOO TABOO,"$0,009521693171",1.3%,-11.5%,-27.7%,$396 117,$92 974 225
Metis Token METIS METIS,"$68,19",0.3%,3.3%,55.3%,$14 383 011,$92 532 291
Sora Validator Token VAL VAL,"$0,920140",0.6%,-4.5%,-0.1%,$127 680,$92 013 973
BNBPay BPAY BPAY,"$0,018052608382",-1.4%,5.8%,57.3%,$565 267,$91 678 462
Akropolis AKRO AKRO,"$0,033681618411",1.8%,-12.2%,2.0%,$12 199 646,$90 965 529
xDAI Stake STAKE STAKE,"$12,79",1.2%,3.4%,28.7%,$1 787 080,$90 305 151
TRONPAD TRONPAD TRONPAD,"$0,154915",2.2%,3.8%,40.4%,$4 114 040,$90 271 255
Streamr XDATA XDATA XDATA,"$0,129567",2.5%,-8.5%,-10.7%,$10 868 035,$90 220 751
Hermez Network HEZ HEZ,"$6,41",1.1%,1.1%,-5.1%,$760 055,$89 320 472
Ribbon Finance RBN RBN,"$2,38",0.6%,-11.9%,-19.9%,$18 429 363,$88 634 203
MultiVAC MTV MTV,"$0,025382902446",-1.1%,-7.8%,37.6%,$17 523 920,$88 559 021
Energi NRG NRG,"$1,90",-3.3%,-5.7%,-10.4%,$92 099,$88 256 798
Splinterlands SPS SPS,"$0,502466",1.0%,-4.5%,-33.4%,$3 658 088,$88 011 562
Cream CREAM CREAM,"$115,20",-0.3%,-26.1%,-22.9%,$28 259 757,$87 840 195
Elastos ELA ELA,"$4,44",2.6%,-19.1%,6.5%,$3 172 277,$87 587 235
Friends With Benefits Pro FWB FWB,"$144,19",27.8%,25.1%,16.2%,$1 945 458,$86 145 725
 BTSE Token BTSE BTSE,"$6,30",-0.3%,-2.9%,7.4%,$1 762 267,$86 067 472
Divi DIVI DIVI,"$0,033597895713",1.2%,-0.0%,-8.9%,$381 559,$85 710 865
inSure DeFi SURE SURE,"$0,003209808072",-11.1%,11.8%,-40.9%,$129 206,$85 680 948
PAC Protocol PAC PAC,"$0,005431580027",-4.2%,-8.3%,4.3%,$485 894,$84 895 978
Somnium Space CUBEs CUBE CUBE,"$6,82",-7.0%,94.4%,176.5%,$14 353 510,$84 535 940
Kava Lend HARD HARD,"$0,917692",1.1%,-9.0%,-9.2%,$12 948 822,$84 124 756
Tornado Cash TORN TORN,"$63,48",1.2%,-5.1%,-9.3%,$9 584 599,$84 059 354
Efforce WOZX WOZX,"$0,512494",0.2%,-11.5%,23.2%,$2 341 059,$83 922 307
MANTRA DAO OM OM,"$0,223576",1.1%,-9.0%,-4.3%,$7 586 810,$83 203 147
BEPRO Network BEPRO BEPRO,"$0,012208978030",2.1%,-11.8%,17.1%,$4 632 911,$83 120 155
Alpha Quark Token AQT AQT,"$3,69",0.3%,-8.9%,-3.8%,$18 133 269,$83 014 045
RMRK RMRK RMRK,"$8,46",2.2%,-12.1%,3.5%,$4 374 874,$82 848 791
Aion AION AION,"$0,166360",1.8%,-9.2%,-5.4%,$5 185 210,$82 569 064
Trustswap SWAP SWAP,"$1,05",0.5%,-3.7%,-7.9%,$341 066,$82 468 452
DIA DIA DIA,"$1,69",1.2%,-6.3%,-2.8%,$11 373 263,$82 263 680
Hegic HEGIC HEGIC,"$0,132725",2.2%,-8.2%,-16.7%,$6 603 798,$82 248 481
Instadapp INST INST,"$4,59",1.0%,-3.9%,1.6%,$231 188,$82 003 521
Bytom BTM BTM,"$0,047894418366",0.7%,-12.7%,-12.3%,$18 587 514,$81 821 149
JET JET JET,"$0,522702",-0.5%,-6.3%,-18.7%,$242 484,$81 689 970
Tracer DAO TCR TCR,"$0,641199",1.1%,8.0%,98.1%,$8 296 682,$81 361 425
Loom Network (OLD) LOOMOLD LOOMOLD,"$0,096540149426",1.9%,-7.7%,-6.1%,$2 446 669,$79 973 986
Refereum RFR RFR,"$0,016280072239",1.4%,-8.6%,-11.4%,$20 727 576,$79 140 081
HUNT HUNT HUNT,"$0,725438",-0.0%,-6.4%,-5.6%,$25 689 845,$78 896 987
Glitch Protocol GLCH GLCH,"$1,12",5.9%,-7.1%,42.3%,$4 000 751,$78 772 526
Terra Virtua Kolect TVK TVK,"$0,181279",1.6%,-10.1%,-16.6%,$9 474 325,$78 696 783
Rai Reflex Index RAI RAI,"$3,03",0.3%,-0.4%,-0.0%,$5 527 614,$78 226 167
3X Long Ethereum Token ETHBULL ETHBULL,"$1 874,10",1.0%,-12.9%,4.0%,$13 907 921,$78 176 705
Nerve Finance NRV NRV,"$0,092401641771",1.6%,-6.1%,-10.4%,$445 051,$77 747 624
Pangolin PNG PNG,"$1,35",2.2%,-9.9%,13.2%,$3 263 493,$77 622 406
cBAT CBAT CBAT,"$0,013511420352",0.2%,-8.4%,-4.1%,"$9 376,62",$77 189 035
Woonkly Power WOOP WOOP,"$0,183150",0.2%,-6.8%,-1.1%,$886 564,$77 118 984
Altura ALU ALU,"$0,125443",4.0%,-14.0%,189.6%,$7 766 366,$76 991 258
Iron Bank EURO IBEUR IBEUR,"$1,25",,7.8%,13.4%,"$13 660,63",$75 240 648
Vite VITE VITE,"$0,098223338977",1.0%,-10.4%,8.1%,$7 168 681,$75 156 275
LTO Network LTO LTO,"$0,256417",1.0%,-8.0%,-7.9%,$7 282 490,$74 957 983
Blox CDT CDT,"$0,110873",3.3%,-36.4%,-20.8%,$212 135,$74 792 778
Cream ETH 2 CRETH2 CRETH2,"$2 959,27",-0.9%,-15.0%,-2.8%,$63 853,$74 532 045
Aergo AERGO AERGO,"$0,287708",0.9%,-11.5%,-10.8%,$4 170 894,$74 343 268
BEAM BEAM BEAM,"$0,738399",1.4%,-7.8%,-16.1%,$6 111 210,$73 636 137
Zero Collateral Dai ZAI ZAI,"$0,000972145459",-7.0%,-7.0%,20.3%,"$115,20",$73 529 894
SOLVE SOLVE SOLVE,"$0,166148",2.4%,-25.7%,-43.2%,$127 299 967,$72 935 359
RedFOX Labs RFOX RFOX,"$0,053617818448",1.2%,-12.4%,-3.1%,$1 830 939,$72 925 055
Verus Coin VRSC VRSC,"$1,12",0.8%,-9.4%,-4.7%,$47 604,$72 631 259
VideoCoin VID VID,"$0,463303",-0.5%,-5.9%,-6.5%,$87 249,$72 110 081
Maple MPL MPL,"$25,79",0.6%,-9.2%,-8.8%,$1 116 224,$72 038 814
Sifchain EROWAN EROWAN,"$0,277486",0.1%,-6.9%,-23.5%,$776 093,$71 622 641
SingularityDAO SDAO SDAO,"$2,53",1.0%,-4.0%,14.0%,$7 102 818,$71 487 558
KCCPad KCCPAD KCCPAD,"$0,353669",3.2%,6.0%,52.9%,$2 088 534,$71 079 010
KleeKai KLEE  KLEE,"$0,000000000710",-2.6%,-0.5%,142.8%,$2 493 222,$70 981 104
Phantasma SOUL SOUL,"$0,692611",0.6%,-10.7%,4.6%,$1 286 057,$70 829 778
Kleros PNK PNK,"$0,135687",0.4%,-5.1%,3.0%,$1 369 102,$70 804 718
